pitcher,player_name,pitch_pct_CH,pitch_pct_CU,pitch_pct_FF,pitch_pct_SL,pitch_pct_FC,pitch_pct_SI,pitch_pct_ST,pitch_pct_SV,pitch_pct_FS,pitch_pct_KC,pitch_pct_KN,pitch_pct_PO,avg_speed_CH,avg_speed_CU,avg_speed_FF,avg_speed_SL,avg_speed_FC,avg_speed_SI,avg_speed_ST,avg_speed_SV,avg_speed_FS,avg_speed_KC,avg_speed_KN,avg_speed_PO,avg_spin_CH,avg_spin_CU,avg_spin_FF,avg_spin_SL,avg_spin_FC,avg_spin_SI,avg_spin_ST,avg_spin_SV,avg_spin_FS,avg_spin_KC,avg_spin_KN,avg_spin_PO,avg_pfx_x_CH,avg_pfx_x_CU,avg_pfx_x_FF,avg_pfx_x_SL,avg_pfx_x_FC,avg_pfx_x_SI,avg_pfx_x_ST,avg_pfx_x_SV,avg_pfx_x_FS,avg_pfx_x_KC,avg_pfx_x_KN,avg_pfx_x_PO,avg_pfx_z_CH,avg_pfx_z_CU,avg_pfx_z_FF,avg_pfx_z_SL,avg_pfx_z_FC,avg_pfx_z_SI,avg_pfx_z_ST,avg_pfx_z_SV,avg_pfx_z_FS,avg_pfx_z_KC,avg_pfx_z_KN,avg_pfx_z_PO,cluster,cluster_name
434378,"Verlander, Justin",1.0526315789473684,27.368421052631582,47.368421052631575,24.210526315789473,0,0,0,0,0,0,0,0,86.4,77.09615384615384,93.45333333333333,86.19130434782609,0,0,0,0,0,0,0,0,1987,2639.153846153846,2403.0666666666666,2529.695652173913,0,0,0,0,0,0,0,0,-1.41,0.6476923076923077,-0.7533333333333333,0.34782608695652173,0,0,0,0,0,0,0,0,0.78,-1.0415384615384615,1.6351111111111112,0.5273913043478261,0,0,0,0,0,0,0,0,4,Balanced Arsenal
450203,"Morton, Charlie",16.483516483516482,38.46153846153847,30.76923076923077,0,10.989010989010989,3.296703296703297,0,0,0,0,0,0,85.29333333333334,80.62857142857143,93.64642857142857,0,87.74,92.39999999999999,0,0,0,0,0,0,2115.6666666666665,3109.885714285714,2268.035714285714,0,2448.6,2154.3333333333335,0,0,0,0,0,0,-1.5086666666666666,1.188,-1.0982142857142858,0,0.007999999999999998,-1.5,0,0,0,0,0,0,-0.03133333333333334,-0.856,0.8525,0,0.446,0.31666666666666665,0,0,0,0,0,0,4,Balanced Arsenal
458681,"Lynn, Lance",5.747126436781609,9.195402298850574,33.33333333333333,0,27.586206896551722,24.137931034482758,0,0,0,0,0,0,84.60000000000001,80.53750000000001,92.10689655172413,0,87.97916666666667,91.04761904761905,0,0,0,0,0,0,1665.2,2680,2505.9310344827586,0,2702.5833333333335,2427.190476190476,0,0,0,0,0,0,-1.232,0.5725,-0.3020689655172414,0,0.13458333333333333,-1.0161904761904763,0,0,0,0,0,0,0.6,-0.56625,1.2158620689655173,0,0.525,0.7628571428571429,0,0,0,0,0,0,4,Balanced Arsenal
471911,"Carrasco, Carlos",22.900763358778626,5.343511450381679,18.3206106870229,20.610687022900763,0,28.24427480916031,4.580152671755725,0,0,0,0,0,86.31333333333333,79.84285714285714,90.93333333333334,83.17777777777778,0,90.41081081081082,79.76666666666667,0,0,0,0,0,1373.9333333333334,2727.714285714286,2209.125,2415.4814814814813,0,2125.675675675676,2469.1666666666665,0,0,0,0,0,-0.6083333333333333,0.9728571428571429,-0.28125,0.3711111111111111,0,-1.1027027027027028,1.1316666666666666,0,0,0,0,0,0.14766666666666667,-0.7057142857142857,0.98,0.13592592592592592,0,0.5548648648648649,0.315,0,0,0,0,0,4,Balanced Arsenal
500779,"Quintana, Jose",17.17171717171717,20.2020202020202,24.242424242424242,0,0,30.303030303030305,0,8.080808080808081,0,0,0,0,85.87058823529412,77.43,90.32916666666667,0,0,90.31666666666666,0,78.0875,0,0,0,0,1311,2237.85,2037.7916666666667,0,0,2008.9333333333334,0,2298.625,0,0,0,0,1,-0.742,0.17041666666666666,0,0,0.966,0,-1.1275,0,0,0,0,0.4547058823529412,-0.615,1.3291666666666666,0,0,1.0473333333333334,0,-0.0925,0,0,0,0,4,Balanced Arsenal
502043,"Gibson, Kyle",15.789473684210526,9.868421052631579,13.157894736842104,0,18.421052631578945,19.736842105263158,23.026315789473685,0,0,0,0,0,84.62916666666666,78.36,91.11,0,89.33571428571429,91.22666666666666,80.46857142857142,0,0,0,0,0,1742.3333333333333,2197.5333333333333,2231.3,0,2319.785714285714,2005.0666666666666,2383.6857142857143,0,0,0,0,0,-1.11875,0.5353333333333333,-0.3145,0,0.15035714285714286,-1.1056666666666666,1.0357142857142858,0,0,0,0,0,0.42375,-0.7586666666666667,1.349,0,0.8992857142857142,0.6303333333333333,-0.12428571428571428,0,0,0,0,0,4,Balanced Arsenal
502624,"Anderson, Chase",20.754716981132077,0,20.754716981132077,0,49.056603773584904,0,9.433962264150944,0,0,0,0,0,84.07272727272728,0,92.25454545454545,0,89,0,81.62,0,0,0,0,0,2289.909090909091,0,2209,0,2414.4615384615386,0,2447.2,0,0,0,0,0,-1.4190909090909092,0,-0.639090909090909,0,0.32346153846153847,0,1.192,0,0,0,0,0,1.2145454545454546,0,1.3818181818181818,0,0.7711538461538462,0,-0.01399999999999999,0,0,0,0,0,4,Balanced Arsenal
506433,"Darvish, Yu",1.4285714285714286,0,17.142857142857142,42.857142857142854,8.571428571428571,17.142857142857142,4.285714285714286,0,2.857142857142857,5.714285714285714,0,0,88.8,0,94.525,86.17666666666666,90.61666666666666,93.03333333333333,83.36666666666667,0,86.1,79.375,0,0,1421,0,2189.4166666666665,2646.7,2352.6666666666665,2049.3333333333335,2663,0,1254,2596.5,0,0,-0.65,0,-0.5516666666666666,0.484,0.060000000000000005,-1.1425,1.2666666666666666,0,-0.54,0.6775,0,0,0.19,0,1.2833333333333332,-0.05233333333333333,0.84,0.5466666666666666,-0.03333333333333335,0,0.15000000000000002,-0.965,0,0,3,Power Fastball Pitchers
519043,"Moore, Matt",28.57142857142857,0,44.44444444444444,0,0,0,0,0,0,26.984126984126984,0,0,83.81111111111112,0,92.98571428571428,0,0,0,0,0,0,82.38235294117646,0,0,2011.7222222222222,0,2265.035714285714,0,0,0,0,0,0,2275.0588235294117,0,0,1.3894444444444445,0,0.7967857142857143,0,0,0,0,0,0,-0.43058823529411766,0,0,0.8333333333333334,0,1.5157142857142858,0,0,0,0,0,0,-0.9923529411764705,0,0,4,Balanced Arsenal
519242,"Sale, Chris",5.263157894736842,0,31.57894736842105,51.578947368421055,0,11.578947368421053,0,0,0,0,0,0,85.7,0,94.53,77.85306122448979,0,93.91818181818182,0,0,0,0,0,0,1778.8,0,2252.133333333333,2361.0408163265306,0,2071.4545454545455,0,0,0,0,0,0,1.254,0,1.1673333333333333,-0.963469387755102,0,1.4554545454545453,0,0,0,0,0,0,0.032,0,0.9516666666666667,-0.3757142857142857,0,0.31363636363636366,0,0,0,0,0,0,4,Balanced Arsenal
